,0,1,Batch,Pred_subtype,Original_subtype
TCGA-E9-A3Q9-01A-11D-A21R-05,8.648463,2.8953831,Source,Cluster 5,LumA
TCGA-AR-A24L-01A-11D-A16A-05,5.9006095,2.9877934,Source,Cluster 5,LumA
TCGA-LL-A5YL-01A-12D-A29O-05,-9.670761,1.5621353,Source,Cluster 1,LumA
TCGA-A7-A3J0-01A-11D-A212-05,8.699949,2.8433752,Source,Cluster 5,LumA
TCGA-A2-A0YF-01A-21D-A10A-05,5.0672603,4.455659,Source,Cluster 5,LumA
TCGA-E2-A1IK-01A-11D-A145-05,8.397538,2.8463404,Source,Cluster 5,LumA
TCGA-D8-A1XO-01A-11D-A14N-05,0.62700474,4.58088,Source,Cluster 3,LumA
TCGA-AR-A1AK-01A-21D-A12R-05,-1.42185,4.3255687,Source,Cluster 3,LumA
TCGA-D8-A73W-01A-22D-A357-05,5.8774996,3.6901927,Source,Cluster 5,LumA
TCGA-AC-A2FE-01A-11D-A19Z-05,-8.671882,2.5786083,Source,Cluster 1,LumA
TCGA-A7-A3IY-01A-21D-A21R-05,8.071414,2.8186574,Source,Cluster 5,LumA
TCGA-AR-A252-01A-11D-A16A-05,1.347934,3.1312637,Source,Cluster 3,LumA
TCGA-A2-A0EP-01A-52D-A230-05,6.201021,2.4441142,Source,Cluster 5,LumA
TCGA-BH-A1EU-01A-11D-A138-05,0.9314148,4.4209347,Source,Cluster 3,LumA
TCGA-AC-A62Y-01A-11D-A29O-05,6.1239905,3.7831366,Source,Cluster 5,LumA
TCGA-E2-A2P5-01A-11D-A19Z-05,-2.4250443,3.5119846,Source,Cluster 3,LumA
TCGA-A2-A0CO-01A-13D-A22B-05,0.4402977,4.531475,Source,Cluster 3,LumA
TCGA-B6-A0RP-01A-21D-A10P-05,-1.9266722,5.1663327,Source,Cluster 3,LumA
TCGA-AO-A0JC-01A-11D-A10P-05,1.1301118,3.2829251,Source,Cluster 3,LumA
TCGA-D8-A1X9-01A-12D-A161-05,-8.809947,1.3932269,Source,Cluster 1,LumA
TCGA-LL-A6FP-01A-11D-A31V-05,5.2651405,4.1635213,Source,Cluster 5,LumA
TCGA-EW-A1IW-01A-11D-A13K-05,-9.825712,1.2563376,Source,Cluster 1,LumA
TCGA-AR-A2LJ-01A-12D-A19Z-05,1.5087765,3.337225,Source,Cluster 3,LumA
TCGA-E9-A22B-01A-11D-A161-05,-11.162308,-0.3428705,Source,Cluster 1,LumA
TCGA-A2-A3KD-01A-12D-A212-05,1.3481593,3.1580203,Source,Cluster 3,LumA
TCGA-D8-A1XG-01A-11D-A14H-05,6.008916,2.977466,Source,Cluster 5,LumA
TCGA-A8-A0A6-01A-12D-A10P-05,-8.551293,2.0260928,Source,Cluster 1,LumA
TCGA-E2-A15I-01A-21D-A138-05,6.937364,3.3168774,Source,Cluster 5,LumA
TCGA-AQ-A7U7-01A-22D-A357-05,-1.8514321,3.378945,Source,Cluster 3,LumA
TCGA-AR-A5QN-01A-12D-A28C-05,-9.869706,1.0545268,Source,Cluster 1,LumA
TCGA-D8-A27I-01A-11D-A16G-05,1.3059131,3.1771402,Source,Cluster 3,LumA
TCGA-C8-A1HE-01A-11D-A13K-05,-9.022573,0.9615415,Source,Cluster 1,LumA
TCGA-AN-A0XV-01A-11D-A10A-05,-9.106417,1.2483659,Source,Cluster 1,LumA
TCGA-E2-A10E-01A-21D-A10N-05,-10.04227,0.42430824,Source,Cluster 1,LumA
TCGA-AR-A2LE-01A-11D-A17Z-05,1.035087,4.3464417,Source,Cluster 3,LumA
TCGA-AR-A24V-01A-21D-A16A-05,4.9659038,4.495413,Source,Cluster 5,LumA
TCGA-AC-A23E-01A-11D-A161-05,-1.4516782,3.6133811,Source,Cluster 3,LumA
TCGA-PE-A5DD-01A-12D-A27Y-05,-11.1590395,-0.33992285,Source,Cluster 1,LumA
TCGA-LD-A74U-01A-13D-A33F-05,1.5049801,3.2563202,Source,Cluster 3,LumA
TCGA-E2-A1IJ-01A-11D-A145-05,1.4641032,3.2813568,Source,Cluster 3,LumA
TCGA-EW-A1J5-01A-11D-A13K-05,-4.3041844,3.960979,Source,Cluster 3,LumA
TCGA-E9-A1N4-01A-11D-A14N-05,6.787344,3.058751,Source,Cluster 5,LumA
TCGA-AC-A6IX-01A-12D-A32T-05,-4.4291716,3.83249,Source,Cluster 3,LumA
TCGA-BH-A0H7-01A-13D-A10P-05,-3.9179137,4.1283755,Source,Cluster 3,LumA
TCGA-AN-A0XL-01A-11D-A10N-05,7.6376386,3.4816358,Source,Cluster 5,LumA
TCGA-AR-A1AP-01A-11D-A12R-05,-9.278017,1.487967,Source,Cluster 1,LumA
TCGA-AR-A0TR-01A-11D-A10P-05,-2.1601472,5.298258,Source,Cluster 3,LumA
TCGA-E9-A5FK-01A-11D-A27Y-05,-3.018435,3.1116245,Source,Cluster 3,LumA
TCGA-AC-A4ZE-01A-11D-A41Q-05,-8.990377,0.96275026,Source,Cluster 1,LumA
TCGA-D8-A1JU-01A-11D-A13K-05,5.974997,2.4696457,Source,Cluster 5,LumA
TCGA-AC-A2QI-01A-12D-A19Z-05,7.929353,2.8801217,Source,Cluster 5,LumA
TCGA-D8-A3Z5-01A-41D-A244-05,1.4618689,3.2289479,Source,Cluster 3,LumA
TCGA-OL-A6VR-01A-32D-A33F-05,-1.0683914,3.991212,Source,Cluster 3,LumA
TCGA-LL-A9Q3-01A-11D-A41Q-05,-9.370505,1.8907691,Source,Cluster 1,LumA
TCGA-BH-A1FH-01A-12D-A13K-05,7.5385714,2.203963,Source,Cluster 5,LumA
TCGA-A7-A13H-01A-11D-A22B-05,1.0078976,3.856032,Source,Cluster 3,LumA
TCGA-AR-A1AM-01A-41D-A22B-05,7.1498885,2.9316304,Source,Cluster 5,LumA
TCGA-GM-A5PV-01A-11D-A28C-05,5.7656803,3.0723383,Source,Cluster 5,LumA
TCGA-A7-A3J1-01A-11D-A212-05,-1.8444439,3.953391,Source,Cluster 3,LumA
TCGA-AC-A2FB-01A-11D-A17F-05,1.0406431,3.3216004,Source,Cluster 3,LumA
TCGA-E2-A105-01A-11D-A10N-05,-9.950876,0.41925806,Source,Cluster 1,LumA
TCGA-EW-A1P5-01A-11D-A145-05,-4.331354,4.3669467,Source,Cluster 3,LumA
TCGA-AC-A6IV-01A-12D-A33F-05,5.9560847,2.9602466,Source,Cluster 5,LumA
TCGA-LD-A7W6-01A-81D-A357-05,-1.438636,4.630699,Source,Cluster 3,LumA
TCGA-A2-A0T4-01A-31D-A10P-05,-8.80618,2.1135123,Source,Cluster 1,LumA
TCGA-PE-A5DC-01A-12D-A27Y-05,0.81152636,4.275086,Source,Cluster 3,LumA
TCGA-A2-A1FZ-01A-51D-A14H-05,-4.207432,4.0772166,Source,Cluster 3,LumA
TCGA-BH-A0DH-01A-11D-A10P-05,-8.515486,1.4152904,Source,Cluster 1,LumA
TCGA-OL-A5D8-01A-11D-A27Y-05,-10.560055,0.20136586,Source,Cluster 1,LumA
TCGA-A2-A0SY-01A-31D-A10P-05,-9.442727,0.8702966,Source,Cluster 1,LumA
TCGA-A7-A0DC-01B-04D-A22R-05,5.460915,4.200319,Source,Cluster 5,LumA
TCGA-A2-A0T5-01A-21D-A10P-05,0.77267766,4.5313272,Source,Cluster 3,LumA
TCGA-OL-A66L-01A-12D-A31V-05,-9.052796,1.3771497,Source,Cluster 1,LumA
TCGA-WT-AB44-01A-11D-A41Q-05,-3.991313,3.6429622,Source,Cluster 3,LumA
TCGA-B6-A0RM-01A-11D-A10P-05,0.70829886,4.668942,Source,Cluster 3,LumA
TCGA-AO-A0JF-01A-11D-A10P-05,4.9517145,3.8995762,Source,Cluster 5,LumA
TCGA-BH-A0BC-01A-22D-A10P-05,0.47928962,4.3073664,Source,Cluster 3,LumA
TCGA-D8-A1XU-01A-11D-A14N-05,-4.3412027,4.224396,Source,Cluster 3,LumA
TCGA-BH-A0AZ-01A-21D-A12R-05,6.6101108,4.404205,Source,Cluster 5,LumA
TCGA-E2-A106-01A-11D-A10N-05,-3.6564455,5.0218234,Source,Cluster 3,LumA
TCGA-AN-A0XW-01A-11D-A10A-05,5.9651947,2.843233,Source,Cluster 5,LumA
TCGA-AC-A2FG-01A-11D-A17F-05,7.051659,3.8055305,Source,Cluster 5,LumA
TCGA-AO-A12G-01A-11D-A10N-05,-4.5955343,4.1867094,Source,Cluster 3,LumA
TCGA-E9-A1NE-01A-21D-A14N-05,1.2439835,3.234834,Source,Cluster 3,LumA
TCGA-A2-A4S0-01A-21D-A268-05,7.1633735,3.009665,Source,Cluster 5,LumA
TCGA-3C-AAAU-01A-11D-A41Q-05,-0.8078048,4.2517576,Source,Cluster 3,LumA
TCGA-E2-A572-01A-13D-A31V-05,-2.000569,4.1710176,Source,Cluster 3,LumA
TCGA-GM-A3NW-01A-21D-A22B-05,-4.1086364,4.7253838,Source,Cluster 3,LumA
TCGA-A7-A3IZ-01A-11D-A212-05,-2.9634898,4.6685333,Source,Cluster 3,LumA
TCGA-EW-A424-01A-11D-A244-05,-8.540306,2.2580962,Source,Cluster 1,LumA
TCGA-A1-A0SE-01A-11D-A10P-05,0.9835677,3.4689372,Source,Cluster 3,LumA
TCGA-LL-A442-01A-11D-A244-05,8.049312,3.1822646,Source,Cluster 5,LumA
TCGA-D8-A27P-01A-11D-A16G-05,6.333422,3.0404053,Source,Cluster 5,LumA
TCGA-EW-A1J2-01A-21D-A13K-05,-1.9262053,3.5769794,Source,Cluster 3,LumA
TCGA-BH-A1EW-01A-11D-A138-05,-4.798014,4.555318,Source,Cluster 3,LumA
TCGA-W8-A86G-01A-21D-A36K-05,-1.0744326,4.2089276,Source,Cluster 3,LumA
TCGA-A8-A0AD-01A-11D-A10P-05,6.0327244,3.252546,Source,Cluster 5,LumA
TCGA-A7-A13G-01B-04D-A22R-05,0.8194192,4.7022595,Source,Cluster 3,LumA
TCGA-A1-A0SJ-01A-11D-A10P-05,-4.5764523,4.5687118,Source,Cluster 3,LumA
TCGA-EW-A1PE-01A-11D-A145-05,5.676673,4.036065,Source,Cluster 5,LumA
TCGA-GM-A2D9-01A-11D-A18O-05,-8.724629,2.2622573,Source,Cluster 1,LumA
TCGA-OL-A5DA-01A-11D-A27Y-05,-1.7641876,4.975049,Source,Cluster 3,LumA
TCGA-AR-A1AS-01A-11D-A12R-05,-0.9367127,4.5976887,Source,Cluster 3,LumA
TCGA-AC-A3W6-01A-12D-A22B-05,1.1255909,3.5928404,Source,Cluster 3,LumA
TCGA-AC-A2FM-01A-11D-A19Z-05,-11.138788,-0.3193376,Source,Cluster 1,LumA
TCGA-C8-A273-01A-11D-A16G-05,-2.8686185,3.0770383,Source,Cluster 3,LumA
TCGA-AR-A2LN-01A-21D-A18O-05,1.082786,4.127582,Source,Cluster 3,LumA
TCGA-B6-A408-01A-12D-A244-05,4.907482,4.6484656,Source,Cluster 5,LumA
TCGA-Z7-A8R5-01A-42D-A41Q-05,-4.0824733,3.5155785,Source,Cluster 3,LumA
TCGA-BH-A0HF-01A-11D-A10P-05,5.983607,3.2448666,Source,Cluster 5,LumA
TCGA-AR-A24W-01A-11D-A16A-05,5.9372797,2.3651423,Source,Cluster 5,LumA
TCGA-BH-A0BM-01A-11D-A10P-05,0.059735972,4.316904,Source,Cluster 3,LumA
TCGA-BH-A0GY-01A-11D-A10P-05,5.499038,3.7866204,Source,Cluster 5,LumA
TCGA-BH-A0HX-01A-21D-A10P-05,-4.2498965,3.5987122,Source,Cluster 3,LumA
TCGA-AR-A24P-01A-11D-A16A-05,-3.3051655,3.5541937,Source,Cluster 3,LumA
TCGA-OL-A5RV-01A-12D-A28C-05,1.123227,3.6695368,Source,Cluster 3,LumA
TCGA-EW-A1PF-01A-11D-A145-05,-1.61308,3.4705343,Source,Cluster 3,LumA
TCGA-EW-A6SC-01A-12D-A32T-05,6.242488,2.8815963,Source,Cluster 5,LumA
TCGA-E9-A1RC-01A-11D-A161-05,-11.169162,-0.3488369,Source,Cluster 1,LumA
TCGA-E9-A1R5-01A-11D-A14N-05,-9.0856905,1.3389204,Source,Cluster 1,LumA
TCGA-E9-A2JT-01A-22D-A18O-05,4.8686495,-0.77117187,Source,Cluster 2,LumA
TCGA-BH-A0B6-01A-11D-A19Z-05,0.97744536,4.135643,Source,Cluster 3,LumA
TCGA-WT-AB41-01A-11D-A41Q-05,-8.685519,2.570512,Source,Cluster 1,LumA
TCGA-AC-A23C-01A-12D-A16A-05,-0.9470676,4.130129,Source,Cluster 3,LumA
TCGA-E9-A5UP-01A-11D-A28C-05,-2.909119,4.58662,Source,Cluster 3,LumA
TCGA-E9-A1R2-01A-11D-A14H-05,-4.2460093,4.639344,Source,Cluster 3,LumA
TCGA-A2-A0YC-01A-11D-A10A-05,-4.5800385,4.2347274,Source,Cluster 3,LumA
TCGA-E2-A1LA-01A-11D-A145-05,6.5638866,2.6692374,Source,Cluster 5,LumA
TCGA-B6-A0WY-01A-11D-A10A-05,0.5234416,4.0136523,Source,Cluster 3,LumA
TCGA-AR-A24O-01A-11D-A16A-05,6.107157,2.488096,Source,Cluster 5,LumA
TCGA-EW-A1IZ-01A-11D-A13K-05,-1.4482734,3.5089264,Source,Cluster 3,LumA
TCGA-E9-A6HE-01A-11D-A31V-05,-4.3332906,3.744367,Source,Cluster 3,LumA
TCGA-5L-AAT0-01A-12D-A41Q-05,-1.0295346,4.2623,Source,Cluster 3,LumA
TCGA-BH-A0DV-01A-21D-A12R-05,1.2515306,3.473249,Source,Cluster 3,LumA
TCGA-S3-AA14-01A-11D-A41Q-05,-3.1759171,3.994746,Source,Cluster 3,LumA
TCGA-BH-A1ES-01A-11D-A138-05,-10.010617,0.4872316,Source,Cluster 1,LumA
TCGA-A2-A0YD-01A-11D-A10A-05,-4.560306,4.605663,Source,Cluster 3,LumA
TCGA-E2-A10B-01A-11D-A10N-05,-8.933798,1.0282646,Source,Cluster 1,LumA
TCGA-D8-A27E-01A-11D-A16G-05,8.556748,2.828234,Source,Cluster 5,LumA
TCGA-GM-A2DC-01A-11D-A18O-05,-8.537527,1.2930547,Source,Cluster 1,LumA
TCGA-AC-A3BB-01A-21D-A19Z-05,0.7242819,4.023247,Source,Cluster 3,LumA
TCGA-GI-A2C8-01A-11D-A16G-05,-8.611128,2.5591125,Source,Cluster 1,LumA
TCGA-A7-A0D9-01A-31D-A10P-05,-4.5753055,4.3369374,Source,Cluster 3,LumA
TCGA-E9-A1N3-01A-12D-A161-05,-2.7269325,4.4863076,Source,Cluster 3,LumA
TCGA-E2-A15J-01A-11D-A12R-05,-8.882525,1.2953658,Source,Cluster 1,LumA
TCGA-BH-A8FY-01A-11D-A36K-05,-8.733744,1.412326,Source,Cluster 1,LumA
TCGA-E2-A576-01A-11D-A31V-05,-10.191561,0.5225236,Source,Cluster 1,LumA
TCGA-OL-A66O-01A-11D-A31V-05,-9.985957,0.56211644,Source,Cluster 1,LumA
TCGA-AO-A0JA-01A-11D-A10P-05,-9.702488,0.8391061,Source,Cluster 1,LumA
TCGA-D8-A27L-01A-11D-A16G-05,6.361488,2.9194064,Source,Cluster 5,LumA
TCGA-HN-A2OB-01A-21D-A27Y-05,5.9656205,2.5028176,Source,Cluster 5,LumA
TCGA-E2-A1B5-01A-21D-A12R-05,-2.9309716,3.2054837,Source,Cluster 3,LumA
TCGA-XX-A89A-01A-11D-A36K-05,8.262336,2.8243413,Source,Cluster 5,LumA
TCGA-EW-A2FV-01A-11D-A17F-05,1.221814,3.195492,Source,Cluster 3,LumA
TCGA-A2-A4S2-01A-12D-A268-05,-4.293818,4.011987,Source,Cluster 3,LumA
TCGA-GM-A2DM-01A-11D-A17Z-05,6.2826514,3.5204728,Source,Cluster 5,LumA
TCGA-AO-A03L-01A-41D-A10P-05,-4.166761,3.5717523,Source,Cluster 3,LumA
TCGA-AR-A255-01A-11D-A16A-05,-8.637137,2.253179,Source,Cluster 1,LumA
TCGA-BH-A0H9-01A-11D-A10P-05,8.664642,2.8609972,Source,Cluster 5,LumA
TCGA-BH-A0DG-01A-21D-A12R-05,-2.959244,3.3095753,Source,Cluster 3,LumA
TCGA-4H-AAAK-01A-12D-A41Q-05,-2.4142623,4.7091613,Source,Cluster 3,LumA
TCGA-AR-A2LM-01A-11D-A17Z-05,0.7250283,3.9373362,Source,Cluster 3,LumA
TCGA-E2-A570-01A-11D-A29O-05,0.5001008,4.647308,Source,Cluster 3,LumA
TCGA-AR-A1AL-01A-21D-A12R-05,5.9320183,4.27379,Source,Cluster 5,LumA
TCGA-B6-A0X7-01A-11D-A10N-05,-3.0856786,4.210047,Source,Cluster 3,LumA
TCGA-AC-A2FO-01A-11D-A17Z-05,1.3914411,3.8287134,Source,Cluster 3,LumA
TCGA-AR-A24M-01A-11D-A16A-05,-2.0600483,4.201747,Source,Cluster 3,LumA
TCGA-E2-A1L6-01A-11D-A13K-05,1.1533259,3.9322402,Source,Cluster 3,LumA
TCGA-EW-A3E8-01B-11D-A244-05,-3.8955617,3.396669,Source,Cluster 3,LumA
TCGA-LL-A440-01A-11D-A244-05,6.1270094,2.3426116,Source,Cluster 5,LumA
TCGA-AC-A2FF-01A-11D-A17F-05,1.4443452,3.156894,Source,Cluster 3,LumA
TCGA-B6-A0RN-01A-12D-A10P-05,-8.882116,1.0001954,Source,Cluster 1,LumA
TCGA-BH-A0H6-01A-21D-A10P-05,6.7457,4.463831,Source,Cluster 5,LumA
TCGA-UL-AAZ6-01A-11D-A41Q-05,-10.225128,0.5355579,Source,Cluster 1,LumA
TCGA-EW-A1IX-01A-12D-A145-05,6.225616,3.0690904,Source,Cluster 5,LumA
TCGA-BH-A1ET-01A-11D-A138-05,-1.3909999,5.3014073,Source,Cluster 3,LumA
TCGA-AC-A3W7-01A-11D-A22B-05,-1.5690217,4.4289885,Source,Cluster 3,LumA
TCGA-EW-A1P6-01A-11D-A145-05,7.7048626,3.1214402,Source,Cluster 5,LumA
TCGA-LL-A50Y-01A-11D-A268-05,-9.2925005,0.9116581,Source,Cluster 1,LumA
TCGA-A2-A0T6-01A-11D-A10P-05,-9.231536,1.9322,Source,Cluster 1,LumA
TCGA-AN-A0XP-01A-11D-A10A-05,-1.4234213,5.3828335,Source,Cluster 3,LumA
TCGA-AN-A0XN-01A-21D-A10A-05,-10.239433,0.4947977,Source,Cluster 1,LumA
TCGA-AO-A0J9-01A-11D-A032-05,-4.6664853,4.404373,Source,Cluster 3,LumA
TCGA-BH-A0HQ-01A-11D-A032-05,-4.129719,4.967086,Source,Cluster 3,LumA
TCGA-A1-A0SD-01A-11D-A112-05,0.045522522,4.2888174,Source,Cluster 3,LumA
TCGA-A2-A0EM-01A-11D-A032-05,6.7115016,4.5539227,Source,Cluster 5,LumA
TCGA-AN-A046-01A-21D-A032-05,-3.8071184,3.9533963,Source,Cluster 3,LumA
TCGA-A8-A091-01A-11D-A00Y-05,-1.4290086,4.9788346,Source,Cluster 3,LumA
TCGA-BH-A18F-01A-11D-A12E-05,-2.572671,3.5573804,Source,Cluster 3,LumA
TCGA-A8-A06T-01A-11D-A00Y-05,-1.6509404,4.9857965,Source,Cluster 3,LumA
TCGA-E2-A153-01A-12D-A12E-05,6.5411105,4.5335364,Source,Cluster 5,LumA
TCGA-A8-A0A1-01A-11D-A00Y-05,-8.9667635,1.1407245,Source,Cluster 1,LumA
TCGA-E2-A15D-01A-11D-A112-05,-0.32820594,4.435327,Source,Cluster 3,LumA
TCGA-AN-A0FZ-01A-11D-A032-05,6.652184,4.559548,Source,Cluster 5,LumA
TCGA-A8-A09B-01A-11D-A00Y-05,-4.535111,4.7821803,Source,Cluster 3,LumA
TCGA-A8-A093-01A-11D-A00Y-05,-4.5569196,4.796938,Source,Cluster 3,LumA
TCGA-A8-A09D-01A-11D-A00Y-05,5.452207,3.5747402,Source,Cluster 5,LumA
TCGA-A8-A07G-01A-11D-A032-05,5.314691,3.6694515,Source,Cluster 5,LumA
TCGA-A8-A0A4-01A-11D-A00Y-05,-9.326798,1.803958,Source,Cluster 1,LumA
TCGA-A8-A06Y-01A-21D-A00Y-05,-9.93222,0.5317036,Source,Cluster 1,LumA
TCGA-BH-A18S-01A-11D-A12E-05,8.033797,3.165192,Source,Cluster 5,LumA
TCGA-A8-A09K-01A-11D-A00Y-05,5.5527005,4.783808,Source,Cluster 5,LumA
TCGA-A2-A0CQ-01A-21D-A032-05,-1.9854797,5.3123364,Source,Cluster 3,LumA
TCGA-C8-A133-01A-32D-A12E-05,5.412421,4.862833,Source,Cluster 5,LumA
TCGA-A8-A086-01A-11D-A00Y-05,6.697001,3.2951229,Source,Cluster 5,LumA
TCGA-BH-A0B0-01A-21D-A112-05,5.539517,4.816351,Source,Cluster 5,LumA
TCGA-AN-A0FN-01A-11D-A032-05,0.16857667,4.0272183,Source,Cluster 3,LumA
TCGA-D8-A146-01A-31D-A112-05,7.415242,4.1811366,Source,Cluster 5,LumA
TCGA-AO-A12H-01A-11D-A112-05,5.451766,4.8471503,Source,Cluster 5,LumA
TCGA-E2-A15H-01A-11D-A12E-05,5.408984,4.7978516,Source,Cluster 5,LumA
TCGA-BH-A18J-01A-11D-A12E-05,7.000756,4.438481,Source,Cluster 5,LumA
TCGA-BH-A0HL-01A-11D-A032-05,-11.067445,-0.24996755,Source,Cluster 1,LumA
TCGA-A8-A0AB-01A-11D-A032-05,-8.951438,0.9999028,Source,Cluster 1,LumA
TCGA-E2-A14Q-01A-11D-A12E-05,5.8007116,4.7395353,Source,Cluster 5,LumA
TCGA-BH-A0W7-01A-11D-A112-05,-0.11592659,4.393948,Source,Cluster 3,LumA
TCGA-C8-A12N-01A-11D-A112-05,7.241585,4.5400357,Source,Cluster 5,LumA
TCGA-D8-A145-01A-11D-A112-05,8.46608,2.7117147,Source,Cluster 5,LumA
TCGA-BH-A0HO-01A-11D-A032-05,-0.06514397,4.340356,Source,Cluster 3,LumA
TCGA-A8-A083-01A-21D-A00Y-05,5.0565605,3.9126892,Source,Cluster 5,LumA
TCGA-B6-A0IP-01A-11D-A032-05,-9.120129,1.5692021,Source,Cluster 1,LumA
TCGA-A7-A0CG-01A-11D-A00Y-05,0.112986125,4.065537,Source,Cluster 3,LumA
TCGA-AN-A0FS-01A-11D-A032-05,5.3504252,4.277975,Source,Cluster 5,LumA
TCGA-E2-A156-01A-11D-A12E-05,4.8815017,4.706455,Source,Cluster 5,LumA
TCGA-AO-A03V-01A-11D-A112-05,7.3731117,4.39675,Source,Cluster 5,LumA
TCGA-B6-A0IC-01A-11D-A032-05,6.201751,3.9289033,Source,Cluster 5,LumA
TCGA-AN-A0FW-01A-11D-A032-05,-2.7362995,3.5978227,Source,Cluster 3,LumA
TCGA-AN-A0FD-01A-11D-A032-05,5.1354666,4.848251,Source,Cluster 5,LumA
TCGA-A8-A0A9-01A-11D-A00Y-05,-10.709548,0.061276212,Source,Cluster 1,LumA
TCGA-A2-A0EW-01A-21D-A112-05,7.205384,4.482677,Source,Cluster 5,LumA
TCGA-B6-A0X0-01A-21D-A112-05,7.05385,4.425986,Source,Cluster 5,LumA
TCGA-BH-A0C1-01B-11D-A12E-05,-4.5992165,4.1184425,Source,Cluster 3,LumA
TCGA-BH-A0BO-01A-23D-A12E-05,8.064304,2.83753,Source,Cluster 5,LumA
TCGA-A8-A07Z-01A-11D-A00Y-05,6.894033,4.6023383,Source,Cluster 5,LumA
TCGA-A2-A0D3-01A-11D-A112-05,-4.5929213,4.6036987,Source,Cluster 3,LumA
TCGA-A8-A099-01A-11D-A00Y-05,-8.899823,1.0388944,Source,Cluster 1,LumA
TCGA-AN-A0FT-01A-11D-A032-05,-2.4788136,3.5919466,Source,Cluster 3,LumA
TCGA-BH-A0BQ-01A-21D-A112-05,5.9388733,2.78825,Source,Cluster 5,LumA
TCGA-AO-A12A-01A-21D-A112-05,7.3978825,4.3530674,Source,Cluster 5,LumA
TCGA-A8-A09T-01A-11D-A00Y-05,5.0632224,4.4822674,Source,Cluster 5,LumA
TCGA-B6-A0IH-01A-11D-A112-05,-0.89425516,3.9465575,Source,Cluster 3,LumA
TCGA-AN-A04A-01A-21D-A032-05,5.7935047,3.693413,Source,Cluster 5,LumA
TCGA-B6-A0IA-01A-11D-A032-05,5.4077477,4.795947,Source,Cluster 5,LumA
TCGA-AN-A0AS-01A-11D-A00Y-05,6.20816,3.2654343,Source,Cluster 5,LumA
TCGA-E2-A15L-01A-11D-A12E-05,-1.5140651,5.337525,Source,Cluster 3,LumA
TCGA-BH-A0E7-01A-11D-A032-05,5.7162375,4.8377657,Source,Cluster 5,LumA
TCGA-E2-A14T-01A-11D-A112-05,7.377966,4.229889,Source,Cluster 5,LumA
TCGA-A2-A0CS-01A-11D-A112-05,7.2260537,4.503862,Source,Cluster 5,LumA
TCGA-A8-A07J-01A-11D-A00Y-05,-1.0341077,4.8012595,Source,Cluster 3,LumA
TCGA-A8-A0A2-01A-11D-A032-05,-9.282539,1.4113592,Source,Cluster 1,LumA
TCGA-A2-A0CP-01A-11D-A032-05,6.4408793,4.17312,Source,Cluster 5,LumA
TCGA-A2-A0ES-01A-11D-A112-05,7.9862666,2.3879337,Source,Cluster 5,LumA
TCGA-E2-A14Z-01A-11D-A112-05,6.5279074,4.1645746,Source,Cluster 5,LumA
TCGA-A8-A09A-01A-11D-A00Y-05,-1.3008112,3.814369,Source,Cluster 3,LumA
TCGA-BH-A0BV-01A-11D-A00Y-05,-8.647523,1.2185133,Source,Cluster 1,LumA
TCGA-A7-A0DB-01A-11D-A00Y-05,-1.6939433,5.296437,Source,Cluster 3,LumA
TCGA-A2-A04N-01A-11D-A112-05,5.513766,4.8611054,Source,Cluster 5,LumA
TCGA-C8-A132-01A-31D-A112-05,5.7244844,4.1556873,Source,Cluster 5,LumA
TCGA-A8-A07P-01A-11D-A00Y-05,-2.6425173,3.5116677,Source,Cluster 3,LumA
TCGA-AO-A0J8-01A-21D-A032-05,-4.464025,4.532558,Source,Cluster 3,LumA
TCGA-BH-A0DT-01A-21D-A12E-05,6.7189655,4.3321605,Source,Cluster 5,LumA
TCGA-A2-A04V-01A-21D-A032-05,5.4336467,4.871402,Source,Cluster 5,LumA
TCGA-B6-A0IM-01A-11D-A032-05,-4.5214357,4.8078184,Source,Cluster 3,LumA
TCGA-BH-A0DX-01A-11D-A112-05,0.53539044,3.8058448,Source,Cluster 3,LumA
TCGA-BH-A18K-01A-11D-A12E-05,7.0496836,4.0470295,Source,Cluster 5,LumA
TCGA-A2-A0EX-01A-21D-A032-05,-3.4997013,4.0917177,Source,Cluster 3,LumA
TCGA-BH-A0DO-01B-11D-A12E-05,6.7421765,4.237919,Source,Cluster 5,LumA
TCGA-A8-A08T-01A-21D-A00Y-05,-8.563673,1.3915108,Source,Cluster 1,LumA
TCGA-B6-A0I8-01A-11D-A032-05,7.27022,4.4945874,Source,Cluster 5,LumA
TCGA-E2-A15F-01A-11D-A112-05,-1.5364147,5.394309,Source,Cluster 3,LumA
TCGA-D8-A140-01A-11D-A112-05,-3.0208533,4.429093,Source,Cluster 3,LumA
TCGA-A7-A0CH-01A-21D-A00Y-05,7.2584033,4.4604774,Source,Cluster 5,LumA
TCGA-BH-A18H-01A-11D-A12E-05,8.0593405,3.2557263,Source,Cluster 5,LumA
TCGA-A2-A0CV-01A-31D-A112-05,5.628023,3.3623974,Source,Cluster 5,LumA
TCGA-A8-A090-01A-11D-A00Y-05,-8.795159,1.2228532,Source,Cluster 1,LumA
TCGA-A7-A0CD-01A-11D-A00Y-05,-3.5378067,4.0147033,Source,Cluster 3,LumA
TCGA-B6-A0WS-01A-11D-A112-05,-0.0717657,4.2489505,Source,Cluster 3,LumA
TCGA-E2-A154-01A-11D-A112-05,-8.54166,1.2269993,Source,Cluster 1,LumA
