,0,1,Batch,Pred_subtype,Original_subtype
TCGA-A7-A26E-01A-11D-A16A-05,-9.199899,1.3378308,Source,Cluster 1,LumA
TCGA-BH-A0DK-01A-21D-A10P-05,-9.624887,1.3595077,Source,Cluster 1,LumA
TCGA-D8-A1XD-01A-11D-A14H-05,-4.6204286,4.4986334,Source,Cluster 3,LumA
TCGA-BH-A0DP-01A-21D-A10P-05,-4.6967587,4.552013,Source,Cluster 3,LumA
TCGA-E2-A1L8-01A-11D-A13K-05,4.991808,4.025191,Source,Cluster 5,LumA
TCGA-BH-A8G0-01A-11D-A357-05,5.9230056,2.4752676,Source,Cluster 5,LumA
TCGA-BH-A1EX-01A-11D-A13K-05,6.04446,3.7253497,Source,Cluster 5,LumA
TCGA-EW-A1J3-01A-11D-A13K-05,-0.7302799,4.561357,Source,Cluster 3,LumA
TCGA-E9-A1NH-01A-11D-A14H-05,-1.9146607,4.028226,Source,Cluster 3,LumA
TCGA-A2-A0EN-01A-13D-A10P-05,-2.3522391,4.241865,Source,Cluster 3,LumA
TCGA-BH-A0E2-01A-11D-A10P-05,-8.715146,1.2757384,Source,Cluster 1,LumA
TCGA-D8-A1Y0-01A-11D-A14N-05,-3.0865552,4.2017007,Source,Cluster 3,LumA
TCGA-AR-A2LO-01A-31D-A18O-05,-1.1953185,3.7892978,Source,Cluster 3,LumA
TCGA-A7-A26J-01A-11D-A16A-05,-8.457704,2.0835764,Source,Cluster 1,LumA
TCGA-B6-A40C-01A-11D-A23D-05,-3.2210934,4.035227,Source,Cluster 3,LumA
TCGA-AO-A03M-01B-11D-A10N-05,7.269609,2.593463,Source,Cluster 5,LumA
TCGA-B6-A0RV-01A-11D-A10P-05,-2.5759437,3.6372566,Source,Cluster 3,LumA
TCGA-BH-A42V-01A-11D-A244-05,-2.8462005,3.1413405,Source,Cluster 3,LumA
TCGA-AO-A12E-01A-11D-A10N-05,-8.7052355,1.074925,Source,Cluster 1,LumA
TCGA-E2-A2P6-01A-11D-A19Z-05,-2.83206,4.583544,Source,Cluster 3,LumA
TCGA-A2-A1G0-01A-11D-A13K-05,7.4785833,3.061953,Source,Cluster 5,LumA
TCGA-5L-AAT1-01A-12D-A41Q-05,-4.270213,3.4644942,Source,Cluster 3,LumA
TCGA-C8-A1HO-01A-11D-A13K-05,-10.594912,0.1670166,Source,Cluster 1,LumA
TCGA-LD-A66U-01A-11D-A31V-05,0.92755264,4.1761518,Source,Cluster 3,LumA
TCGA-E9-A1R6-01A-11D-A14H-05,-10.061306,0.39570448,Source,Cluster 1,LumA
TCGA-E2-A1IO-01A-11D-A145-05,6.249696,3.2993577,Source,Cluster 5,LumA
TCGA-AC-A5XU-01A-11D-A28C-05,-9.092951,2.6902246,Source,Cluster 1,LumA
TCGA-E2-A1IN-01A-11D-A13K-05,6.164016,3.2813873,Source,Cluster 5,LumA
TCGA-A7-A56D-01A-11D-A27Y-05,-2.3629997,3.3838127,Source,Cluster 3,LumA
TCGA-BH-A0HK-01A-11D-A10P-05,-8.935729,1.091727,Source,Cluster 1,LumA
TCGA-D8-A1XB-01A-11D-A14H-05,-8.622192,2.2132142,Source,Cluster 1,LumA
TCGA-AC-A23G-01A-11D-A212-05,1.5181804,3.525981,Source,Cluster 3,LumA
TCGA-AC-A2B8-01A-11D-A17F-05,1.0576953,4.2660427,Source,Cluster 3,LumA
TCGA-BH-A5J0-01A-11D-A27Y-05,7.410293,4.2276196,Source,Cluster 5,LumA
TCGA-AO-A125-01A-11D-A10N-05,-4.5045943,4.883508,Source,Cluster 3,LumA
TCGA-OL-A66N-01A-12D-A31V-05,-4.5011287,3.8246422,Source,Cluster 3,LumA
TCGA-OL-A66J-01A-11D-A29O-05,1.0635451,4.2638707,Source,Cluster 3,LumA
TCGA-EW-A1P3-01A-11D-A145-05,-2.48657,4.1209126,Source,Cluster 3,LumA
TCGA-BH-A0B8-01A-21D-A10P-05,-9.74005,0.6149738,Source,Cluster 1,LumA
TCGA-E9-A1QZ-01A-21D-A16A-05,5.779371,2.8518703,Source,Cluster 5,LumA
TCGA-BH-A0DQ-01A-11D-A10P-05,6.420156,3.0159461,Source,Cluster 5,LumA
TCGA-AC-A8OP-01A-11D-A36K-05,-8.746017,2.626637,Source,Cluster 1,LumA
TCGA-XX-A899-01A-11D-A36K-05,-1.4664418,3.5778217,Source,Cluster 3,LumA
TCGA-A2-A259-01A-11D-A16G-05,1.517585,3.3740036,Source,Cluster 3,LumA
TCGA-A2-A3KC-01A-11D-A212-05,-3.8504224,3.6207795,Source,Cluster 3,LumA
TCGA-D8-A1XA-01A-11D-A14H-05,-4.138187,4.5957026,Source,Cluster 3,LumA
TCGA-E2-A1B1-01A-21D-A12R-05,7.716807,2.3419735,Source,Cluster 5,LumA
TCGA-A7-A5ZX-01A-12D-A29O-05,-1.5801387,3.4985645,Source,Cluster 3,LumA
TCGA-BH-A201-01A-11D-A14N-05,7.012049,3.1535397,Source,Cluster 5,LumA
TCGA-AQ-A04L-01B-21D-A10N-05,-2.5288873,3.4944396,Source,Cluster 3,LumA
TCGA-BH-A0E1-01A-11D-A10P-05,-3.0433478,4.4962626,Source,Cluster 3,LumA
TCGA-AR-A0U3-01A-11D-A10A-05,-9.188857,1.5960464,Source,Cluster 1,LumA
TCGA-A7-A425-01A-11D-A244-05,5.6658716,3.2328165,Source,Cluster 5,LumA
TCGA-OL-A66H-01A-11D-A29O-05,6.017225,3.0681067,Source,Cluster 5,LumA
TCGA-D8-A1XV-01A-11D-A14N-05,-2.1103153,4.9766793,Source,Cluster 3,LumA
TCGA-S3-A6ZG-01A-22D-A32T-05,-9.779332,0.69330806,Source,Cluster 1,LumA
TCGA-E9-A1NG-01A-21D-A14N-05,8.362294,2.95592,Source,Cluster 5,LumA
TCGA-AC-A5XS-01A-11D-A29O-05,5.271894,3.4894724,Source,Cluster 5,LumA
TCGA-A7-A3RF-01A-11D-A22B-05,7.56264,3.0686145,Source,Cluster 5,LumA
TCGA-PL-A8LX-01A-11D-A41Q-05,-1.8586265,4.2379103,Source,Cluster 3,LumA
TCGA-AR-A1AX-01A-11D-A12R-05,5.988949,2.5370286,Source,Cluster 5,LumA
TCGA-BH-A1FB-01A-11D-A13K-05,6.07351,2.342424,Source,Cluster 5,LumA
TCGA-BH-A0HI-01A-11D-A10P-05,-1.806606,5.2879796,Source,Cluster 3,LumA
TCGA-AR-A5QP-01A-11D-A28C-05,-3.0624604,3.2112586,Source,Cluster 3,LumA
TCGA-B6-A0RI-01A-11D-A10P-05,5.272486,4.0940304,Source,Cluster 5,LumA
TCGA-E2-A1IE-01A-11D-A13K-05,-8.955095,2.3033934,Source,Cluster 1,LumA
TCGA-E9-A1N5-01A-11D-A14H-05,-2.9627213,3.3547914,Source,Cluster 3,LumA
TCGA-GM-A5PX-01A-12D-A28C-05,-1.5254183,3.7654345,Source,Cluster 3,LumA
TCGA-B6-A0RG-01A-11D-A10P-05,6.7461286,3.824924,Source,Cluster 5,LumA
TCGA-E2-A1IF-01A-11D-A145-05,7.6755667,2.5278971,Source,Cluster 5,LumA
TCGA-BH-A1F5-01A-12D-A13K-05,-2.3714359,5.048343,Source,Cluster 3,LumA
TCGA-D8-A27T-01A-11D-A16G-05,0.71501744,4.1648126,Source,Cluster 3,LumA
TCGA-B6-A40B-01A-11D-A23D-05,-8.52034,1.7146089,Source,Cluster 1,LumA
TCGA-E9-A24A-01A-11D-A16A-05,7.3726397,2.8829534,Source,Cluster 5,LumA
TCGA-AC-A3TM-01A-11D-A22B-05,-4.164984,4.6014357,Source,Cluster 3,LumA
TCGA-D8-A4Z1-01A-21D-A268-05,1.1951615,3.3385231,Source,Cluster 3,LumA
TCGA-AC-A3OD-01B-06D-A22R-05,-8.877711,2.2019627,Source,Cluster 1,LumA
TCGA-C8-A3M7-01A-12D-A21R-05,1.0814604,3.505212,Source,Cluster 3,LumA
TCGA-A8-A08O-01A-21D-A10P-05,0.17444612,4.589095,Source,Cluster 3,LumA
TCGA-D8-A73X-01A-11D-A32T-05,-4.63882,4.691896,Source,Cluster 3,LumA
TCGA-S3-AA12-01A-11D-A41Q-05,5.965719,3.0500417,Source,Cluster 5,LumA
TCGA-LL-A6FQ-01A-11D-A31V-05,-3.8907762,4.7739315,Source,Cluster 3,LumA
TCGA-A2-A0YI-01A-31D-A10N-05,-2.7678294,4.427183,Source,Cluster 3,LumA
TCGA-GM-A2DA-01A-11D-A18O-05,8.128595,2.8192818,Source,Cluster 5,LumA
TCGA-OK-A5Q2-01A-11D-A27Y-05,-2.889749,3.0737963,Source,Cluster 3,LumA
TCGA-A2-A1FV-01A-11D-A13K-05,-9.131072,2.2693322,Source,Cluster 1,LumA
TCGA-C8-A26Z-01A-11D-A16G-05,0.6643419,4.6853776,Source,Cluster 3,LumA
TCGA-GM-A4E0-01A-12D-A268-05,-1.4255263,3.531337,Source,Cluster 3,LumA
TCGA-OL-A5RX-01A-11D-A28C-05,1.0538601,3.3539944,Source,Cluster 3,LumA
TCGA-BH-A0HA-01A-11D-A12R-05,-4.8911676,4.4569325,Source,Cluster 3,LumA
TCGA-E2-A10F-01A-11D-A10N-05,-4.438172,3.7379236,Source,Cluster 3,LumA
TCGA-E2-A1IL-01A-11D-A14H-05,-1.4851533,5.408682,Source,Cluster 3,LumA
TCGA-C8-A1HI-01A-11D-A138-05,1.2455616,3.7747786,Source,Cluster 3,LumA
TCGA-AQ-A0Y5-01A-11D-A14N-05,-1.7356703,3.372929,Source,Cluster 3,LumA
TCGA-A7-A26J-01B-02D-A27B-05,-4.7296104,4.0412498,Source,Cluster 3,LumA
TCGA-D8-A1X8-01A-11D-A14N-05,-1.7062309,3.5007777,Source,Cluster 3,LumA
TCGA-E9-A1RD-01A-11D-A161-05,-10.023434,0.4531415,Source,Cluster 1,LumA
TCGA-E2-A1IU-01A-11D-A14H-05,5.3875303,3.8481872,Source,Cluster 5,LumA
TCGA-D8-A1XY-01A-11D-A14N-05,8.740139,2.8561575,Source,Cluster 5,LumA
TCGA-EW-A2FS-01A-11D-A17F-05,-1.7756461,3.3896825,Source,Cluster 3,LumA
TCGA-A1-A0SG-01A-11D-A145-05,6.2168727,2.9947443,Source,Cluster 5,LumA
TCGA-E9-A1RF-01A-11D-A161-05,-9.89369,0.9897392,Source,Cluster 1,LumA
TCGA-EW-A423-01A-11D-A244-05,-8.454258,2.020149,Source,Cluster 1,LumA
TCGA-BH-A0B5-01A-11D-A12R-05,-4.6523423,4.364925,Source,Cluster 3,LumA
TCGA-V7-A7HQ-01A-11D-A33F-05,5.08957,4.4183707,Source,Cluster 5,LumA
TCGA-E9-A245-01A-22D-A16G-05,8.26861,2.9181175,Source,Cluster 5,LumA
TCGA-BH-A0HP-01A-12D-A10P-05,-4.274533,3.5133362,Source,Cluster 3,LumA
TCGA-A1-A0SF-01A-11D-A145-05,1.4528749,3.4671,Source,Cluster 3,LumA
TCGA-BH-A0H3-01A-11D-A12R-05,-0.6105537,4.4037724,Source,Cluster 3,LumA
TCGA-A2-A0CT-01A-31D-A10P-05,-10.9394,-0.13383417,Source,Cluster 1,LumA
TCGA-D8-A1XC-01A-11D-A14H-05,-1.0097793,5.100394,Source,Cluster 3,LumA
TCGA-E2-A1L9-01A-11D-A13K-05,1.1022887,3.876892,Source,Cluster 3,LumA
TCGA-D8-A1JH-01A-11D-A13K-05,-2.987849,3.2615316,Source,Cluster 3,LumA
TCGA-E9-A295-01A-11D-A16G-05,-8.571076,2.4674907,Source,Cluster 1,LumA
TCGA-AR-A24X-01A-11D-A16A-05,-8.864745,2.2825432,Source,Cluster 1,LumA
TCGA-LL-A7SZ-01A-32D-A357-05,7.7831903,2.9955301,Source,Cluster 5,LumA
TCGA-S3-A6ZH-01A-22D-A32T-05,5.8622594,3.142932,Source,Cluster 5,LumA
TCGA-OL-A5RU-01A-11D-A28C-05,5.8546724,3.1102643,Source,Cluster 5,LumA
TCGA-AC-A3YJ-01A-11D-A230-05,-1.5447698,5.2680926,Source,Cluster 3,LumA
TCGA-E9-A1RA-01A-11D-A14H-05,1.3195051,3.9448376,Source,Cluster 3,LumA
TCGA-AO-A12C-01A-11D-A10N-05,-8.9173565,1.4606063,Source,Cluster 1,LumA
TCGA-BH-A0B2-01A-11D-A10N-05,-1.1206142,4.452369,Source,Cluster 3,LumA
TCGA-E2-A1IG-01A-11D-A145-05,0.88742816,4.3254814,Source,Cluster 3,LumA
TCGA-A2-A25D-01A-12D-A16G-05,0.9831132,4.0551524,Source,Cluster 3,LumA
TCGA-E9-A227-01A-11D-A161-05,8.07498,3.101082,Source,Cluster 5,LumA
TCGA-A7-A26H-01A-11D-A16A-05,-1.3520094,4.65569,Source,Cluster 3,LumA
